Validator,PT_VERSION,2.12.0
GemmTunableOp_float_TN,tn_2048_2048_55_ld_55_55_2048,Default,0.0676365
GemmTunableOp_float_TN,tn_2048_2048_51_ld_51_51_2048,Default,0.0638141
GemmTunableOp_float_TN,tn_2048_2048_57_ld_57_57_2048,Default,0.0647856
GemmTunableOp_float_TN,tn_2048_2048_56_ld_56_56_2048,Default,0.0623331
GemmTunableOp_float_TN,tn_2048_2048_54_ld_54_54_2048,Default,0.0667501
GemmTunableOp_float_TN,tn_2048_2048_59_ld_59_59_2048,Default,0.0652288
GemmTunableOp_float_TN,tn_2048_2048_61_ld_61_61_2048,Default,0.0650432
GemmTunableOp_float_TN,tn_2048_2048_63_ld_63_63_2048,Default,0.0652822
GemmTunableOp_float_TN,tn_2048_2048_58_ld_58_58_2048,Default,0.064904
GemmTunableOp_float_TN,tn_512_2048_24_ld_24_24_512,Default,0.0112685
GemmTunableOp_float_TN,tn_2048_2048_65_ld_65_65_2048,Default,0.0746013
GemmTunableOp_float_TN,tn_2048_2048_62_ld_62_62_2048,Default,0.0648867
GemmTunableOp_float_TN,tn_2048_2048_67_ld_67_67_2048,Default,0.0793888
GemmTunableOp_float_TN,tn_2048_2048_60_ld_60_60_2048,Default,0.0646285
GemmTunableOp_float_TN,tn_2048_2048_64_ld_64_64_2048,Default,0.0668413
GemmTunableOp_float_TN,tn_2048_2048_68_ld_68_68_2048,Default,0.0792666
GemmTunableOp_float_TN,tn_2048_2048_69_ld_69_69_2048,Default,0.0794368
GemmTunableOp_float_TN,tn_2048_2048_71_ld_71_71_2048,Default,0.086295
GemmTunableOp_float_TN,tn_2048_2048_66_ld_66_66_2048,Default,0.0724198
GemmTunableOp_float_TN,tn_2048_2048_53_ld_53_53_2048,Default,0.0628448
GemmTunableOp_float_TN,tn_2048_2048_49_ld_49_49_2048,Default,0.0677648
GemmTunableOp_float_TN,tn_2048_2048_48_ld_48_48_2048,Default,0.0603542
GemmTunableOp_float_NN,nn_37_32_1_ld_37_1_37,Default,0.00637408
GemmTunableOp_float_TN,tn_16_37_2048_ld_2048_2048_16,Default,0.0096512
GemmTunableOp_float_TN,tn_2048_37_16_ld_16_16_2048,Default,0.005432
GemmTunableOp_float_TN,tn_512_37_16_ld_16_16_512,Default,0.0089264
GemmTunableOp_BFloat16_TN,tn_2048_37_5_ld_5_5_2048,Default,0.0063392
GemmTunableOp_BFloat16_TN,tn_8192_37_3_ld_3_3_8192,Default,0.00669632
GemmTunableOp_BFloat16_TN,tn_8192_37_5_ld_5_5_8192,Default,0.0065024
GemmTunableOp_BFloat16_NN,nn_2048_37_1_ld_1_1_2048,Default,0.00623968
GemmTunableOp_BFloat16_TN,tn_2048_37_3_ld_3_3_2048,Default,0.0063408
GemmTunableOp_BFloat16_TN,tn_512_37_3_ld_3_3_512,Default,0.00642048
GemmTunableOp_BFloat16_TN,tn_2048_37_4_ld_4_4_2048,Default,0.0094288
GemmTunableOp_BFloat16_TN,tn_512_37_4_ld_4_4_512,Default,0.00775872
GemmTunableOp_BFloat16_TN,tn_8192_37_4_ld_4_4_8192,Default,0.0120445
GemmTunableOp_BFloat16_TN,tn_2048_37_2_ld_2_2_2048,Default,0.00938304
GemmTunableOp_BFloat16_TN,tn_2048_37_9_ld_9_9_2048,Default,0.00649408
GemmTunableOp_BFloat16_TN,tn_8192_37_6_ld_6_6_8192,Default,0.00828736
GemmTunableOp_BFloat16_TN,tn_2048_37_26_ld_26_26_2048,Default,0.00939744
GemmTunableOp_float_NN,nn_33_32_1_ld_33_1_33,Default,0.00647104
GemmTunableOp_float_TN,tn_16_33_2048_ld_2048_2048_16,Default,0.0131082
GemmTunableOp_float_TN,tn_2048_33_16_ld_16_16_2048,Default,0.00670656
GemmTunableOp_float_TN,tn_512_33_16_ld_16_16_512,Default,0.00979264
GemmTunableOp_BFloat16_TN,tn_2048_33_5_ld_5_5_2048,Default,0.00664768
GemmTunableOp_BFloat16_TN,tn_8192_33_3_ld_3_3_8192,Default,0.00673408
GemmTunableOp_BFloat16_TN,tn_8192_33_5_ld_5_5_8192,Default,0.00677248
GemmTunableOp_BFloat16_NN,nn_2048_33_1_ld_1_1_2048,Default,0.00789088
GemmTunableOp_BFloat16_TN,tn_2048_33_3_ld_3_3_2048,Default,0.00563808
GemmTunableOp_BFloat16_TN,tn_512_33_3_ld_3_3_512,Default,0.00827552
GemmTunableOp_BFloat16_TN,tn_2048_33_4_ld_4_4_2048,Default,0.00948256
GemmTunableOp_BFloat16_TN,tn_512_33_4_ld_4_4_512,Default,0.00766048
GemmTunableOp_BFloat16_TN,tn_8192_33_4_ld_4_4_8192,Default,0.0108678
